ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,LoanSource
Arak-3_bark-1,,Arak,3_bark,həmbɔk,həmbɔk,,,Peiros2004a,,false,
Bahnar-3_bark-1,,Bahnar,3_bark,hmɔk,hmɔk,,,Peiros2004a,,false,
Tempuan-3_bark-1,,Tempuan,3_bark,mhok,mhok,,,Peiros2004a,,false,
Oy-3_bark-1,,Oy,3_bark,mbɔk,mbɔk,,,Peiros2004a,,false,
Nhaheun-3_bark-1,,Nhaheun,3_bark,hmɔk,hmɔk,,,Peiros2004a,,false,
Jru-3_bark-1,,Jru,3_bark,hmɔk,hmɔk,,,Peiros2004a,,false,
Tariang-3_bark-1,,Tariang,3_bark,mɔk,mɔk,,,Peiros2004a,,false,
Kantu-3_bark-1,,Kantu,3_bark,ʔəŋkar,ʔəŋkar,,,Peiros2004a,,false,
Katu-3_bark-1,,Katu,3_bark,ŋkar,ŋkar,,,Peiros2004a,,false,
Dakkang-3_bark-1,,Dakkang,3_bark,nak,nak,,,Peiros2004a,,false,
LaoKatu-3_bark-1,,LaoKatu,3_bark,kar,kar,,,Peiros2004a,,false,
Taoih-3_bark-1,,Taoih,3_bark,troh,troh,,,Peiros2004a,,false,
Ong-3_bark-1,,Ong,3_bark,ndrɔh,ndrɔh,,,Peiros2004a,,false,
Taoi-3_bark-1,,Taoi,3_bark,nrɔh.A,nrɔh.A,,,Peiros2004a,,false,
Nge-3_bark-1,,Nge,3_bark,ndɔh,ndɔh,,,Peiros2004a,,false,
Kui-3_bark-1,,Kui,3_bark,mpuaʔ.B,mpuaʔ.B,,,Peiros2004a,,true,BAH
Neu-3_bark-1,,Neu,3_bark,səlɔʔ,səlɔʔ,,,Peiros2004a,,false,
BruVK-3_bark-1,,BruVK,3_bark,ndâh,ndâh,,,Peiros2004a,,false,
Mak-3_bark-1,,Mak,3_bark,sənɔʔ,sənɔʔ,,,Peiros2004a,,false,
So-3_bark-1,,So,3_bark,ntoʔ,ntoʔ,,,Peiros2004a,,false,
Tri-3_bark-1,,Tri,3_bark,ŋkap,ŋkap,,,Peiros2004a,,true,BAH
Nyakur-3_bark-1,,Nyakur,3_bark,ŋkuər,ŋkuər,,,Peiros2004a,,false,
Mon-3_bark-1,,Mon,3_bark,sakow,sakow,,,Peiros2004a,,false,
Semelai-3_bark-1,,Semelai,3_bark,kulit,kulit,,,Peiros2004a,,true,MALAY
Kensiw-3_bark-1,,Kensiw,3_bark,katəʔ,katəʔ,,,Peiros2004a,,false,
JahHut-3_bark-1,,JahHut,3_bark,kətuʔ,kətuʔ,,,Peiros2004a,,false,
Semai-3_bark-1,,Semai,3_bark,ckɔp,ckɔp,,,Peiros2004a,,false,
Temiar-3_bark-1,,Temiar,3_bark,senkɔʔ,senkɔʔ,,,Peiros2004a,,false,
Khmer-3_bark-1,,Khmer,3_bark,səmpɔk,səmpɔk,,,Peiros2004a,,false,
KSurin-3_bark-1,,KSurin,3_bark,smâʔ,smâʔ,,,Peiros2004a,,false,
ChongH-3_bark-1,,ChongH,3_bark,kâʔ.A,kâʔ.A,,,Peiros2004a,,false,
Chong-3_bark-1,,Chong,3_bark,kəkɔʔ.A,kəkɔʔ.A,,,Peiros2004a,,false,
Kasong-3_bark-1,,Kasong,3_bark,takru.B,takru.B,,,Peiros2004a,,false,
